state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year,StateName,Region,nCLOTHIANIDIN,nIMIDACLOPRID,nTHIAMETHOXAM,nACETAMIPRID,nTHIACLOPRID,nAllNeonic
AL,11000,56,616000,209000,1.49,918000,2007,Alabama,South,7696.2,3258.1,4149.6,0.0,0.0,15103.9
AL,11000,72,792000,230000,1.21,958000,2006,Alabama,South,680.0,4230.2,5371.6,0.0,0.0,10281.8
AL,12000,86,1032000,103000,1.18,1218000,2002,Alabama,South,0.0,1178.8,840.4,0.0,0.0,2019.2
AL,12000,87,1044000,282000,1.41,1472000,2004,Alabama,South,2676.4,1323.9,3863.9,0.0,0.0,7864.2
AL,13000,66,858000,266000,1.02,875000,2005,Alabama,South,1503.6,994.5,5493.9,0.0,0.0,7992.0
AL,13000,82,1066000,43000,1.24,1322000,2003,Alabama,South,0.0,668.3,591.7,0.0,0.0,1260.0
AL,14000,73,1022000,235000,0.72,736000,2001,Alabama,South,0.0,1490.8,0.0,0.0,0.0,1490.8
AL,16000,71,1136000,159000,0.72,818000,1998,Alabama,South,0.0,1836.3,0.0,0.0,0.0,1836.3
AL,16000,78,1248000,187000,0.59,736000,2000,Alabama,South,0.0,1499.2,0.0,0.0,0.0,1499.2
AL,17000,68,1156000,185000,0.56,647000,1999,Alabama,South,0.0,1251.2,0.0,0.0,0.0,1251.2
AL,7000,45,315000,22000,2.77,873000,2017,Alabama,South,,,,,,
AL,7000,47,329000,13000,3.83,1260000,2015,Alabama,South,56.2,10919.3,1101.6,0.0,0.0,12077.1
AL,7000,52,364000,33000,3.45,1256000,2016,Alabama,South,,,,,,
AL,7000,52,364000,55000,2.85,1037000,2013,Alabama,South,5992.9,8284.4,5202.0,0.0,0.0,19479.3
AL,7000,53,371000,26000,3.53,1310000,2014,Alabama,South,7971.6,12194.1,4745.4,0.0,0.0,24911.1
AL,8000,54,432000,65000,2.47,1067000,2012,Alabama,South,4797.8,6249.1,7002.6,0.0,0.0,18049.5
AL,9000,50,450000,63000,2.51,1130000,2011,Alabama,South,10106.1,5229.8,7148.1,0.0,0.0,22484.0
AL,9000,50,450000,68000,1.86,837000,2009,Alabama,South,5087.2,3991.9,4076.2,0.0,0.0,13155.3
AL,9000,54,486000,73000,2.4,1166000,2010,Alabama,South,1914.0,1757.0,4658.3,0.0,0.0,8329.3
AL,9000,66,594000,214000,1.9,1129000,2008,Alabama,South,1598.3,3296.6,4214.5,0.0,0.0,9109.4
AR,21000,65,1365000,137000,2.04,2785000,2014,Arkansas,South,15202.6,17066.9,23805.3,692.1,0.0,56766.9
AR,22000,60,1320000,66000,2.02,2666000,2013,Arkansas,South,17338.3,17309.0,23873.8,0.0,0.0,58521.1
AR,22000,64,1408000,239000,1.62,2281000,2011,Arkansas,South,5894.4,15162.1,33501.0,2874.3,0.0,57431.8
AR,24000,57,1368000,301000,1.42,1943000,2009,Arkansas,South,4346.9,10079.4,21186.5,349.1,0.0,35961.9
AR,24000,69,1656000,99000,1.85,3064000,2016,Arkansas,South,,,,,,
AR,24000,72,1728000,121000,2.06,3560000,2015,Arkansas,South,1070.4,5235.9,5373.0,748.0,0.0,12427.3
AR,25000,60,1500000,360000,1.47,2205000,2010,Arkansas,South,3544.8,9049.8,21468.2,902.7,0.0,34965.5
AR,25000,63,1575000,189000,1.98,3119000,2012,Arkansas,South,4939.2,12508.7,33718.9,59.7,0.0,51226.5
AR,28000,75,2100000,525000,1.35,2835000,2008,Arkansas,South,2168.9,9093.8,25102.8,995.7,0.0,37361.2
AR,28000,80,2240000,672000,0.95,2128000,2007,Arkansas,South,209.8,12750.1,17475.5,1277.4,0.0,31712.8
AR,29000,77,2233000,223000,1.91,4265000,2017,Arkansas,South,,,,,,
AR,32000,76,2432000,730000,0.89,2164000,2006,Arkansas,South,1518.4,7036.6,20647.9,4686.6,0.0,33889.5
AR,36000,69,2484000,571000,0.97,2409000,2005,Arkansas,South,2458.3,6902.1,7310.4,981.2,0.0,17652.0
AR,40000,57,2280000,388000,0.87,1984000,2004,Arkansas,South,530.9,11941.3,9368.6,3312.4,0.0,25153.2
AR,40000,75,3.00E+06,810000,1.26,3780000,2003,Arkansas,South,0.0,3266.6,2280.0,20.8,0.0,5567.4
AR,45000,88,3960000,871000,1.26,4990000,2002,Arkansas,South,0.0,1306.7,1462.0,107.9,0.0,2876.6
AR,50000,98,4900000,1617000,0.65,3185000,2001,Arkansas,South,0.0,2884.8,684.9,0.0,0.0,3569.7
AR,52000,89,4628000,2592000,0.53,2453000,1999,Arkansas,South,0.0,692.2,0.0,0.0,0.0,692.2
